Year,Team,Abbreviation,Avg,Ret,Yds,KRet_TD,20_yd_returns,40_yd_returns,Long,Fair Catch
2008,Packers,GB,20.1,69,1387,0,37,3,45,0
2008,Panthers,CAR,22.9,60,1372,0,37,4,59,0
2008,Patriots,NE,25.2,62,1562,1,40,7,95,0
2008,Raiders,LV,22.8,78,1777,2,40,7,92,1
2008,Rams,LAR,22,80,1761,0,54,2,75,0
2008,Ravens,BAL,20.1,50,1007,0,28,0,39,0
2008,Commanders,WAS,25.1,55,1382,0,39,4,87,1
2008,Saints,NO,24.1,62,1496,0,36,8,88,1
2008,Seahawks,SEA,25.3,77,1948,0,53,8,61,1
2008,Steelers,PIT,20.3,50,1013,0,27,1,43,1
2008,Texans,HOU,21.5,72,1550,0,42,1,50,0
2008,Titans,TEN,25.4,52,1319,0,41,5,52,0
2008,Vikings,MIN,22.4,61,1369,0,35,3,49,0
2009,Bears,CHI,25,80,1999,1,49,9,102,0
2009,Bengals,CIN,21.9,62,1356,1,30,2,96,1
2009,Bills,BUF,23.7,64,1517,0,38,3,71,1
2009,Broncos,DEN,21.4,57,1217,1,33,2,93,0
2009,Browns,CLE,24.2,69,1670,3,40,6,103,1
2009,Buccaneers,TB,26.3,62,1630,1,47,2,97,2
2009,Cardinals,ARI,23.8,54,1284,1,40,2,99,0
2009,Chargers,LAC,22.9,63,1442,0,38,5,66,0
2009,Chiefs,KC,21.6,77,1666,1,45,5,97,0
2009,Colts,IND,22.2,55,1219,1,30,1,93,0
2009,Cowboys,DAL,22,47,1032,0,28,2,41,0
2009,Dolphins,MIA,23.2,75,1739,2,45,4,101,1
2009,Eagles,PHI,20.5,58,1191,0,29,2,63,0
2009,Falcons,ATL,24.3,55,1336,0,39,2,62,0
2009,Giants,NYG,20.9,71,1482,0,38,2,68,0
2009,Jaguars,JAX,22.6,66,1492,0,44,5,43,0
2009,Jets,NYJ,24.4,44,1074,1,28,4,106,0
2009,Lions,DET,21.4,96,2050,0,52,4,87,0
2009,49ers,SF,21.8,52,1135,0,32,4,76,1
2009,Packers,GB,22.1,54,1193,0,34,2,54,2
2009,Panthers,CAR,19.9,51,1015,0,26,1,55,0
2009,Patriots,NE,22.7,54,1226,0,39,1,52,0
2009,Raiders,LV,18.2,66,1199,0,25,2,60,0
2009,Rams,LAR,23.2,76,1764,0,53,5,58,0
2009,Ravens,BAL,26.2,59,1547,1,39,7,95,0
2009,Commanders,WAS,21.7,65,1413,0,44,1,42,0
2009,Saints,NO,24.4,57,1393,1,38,5,97,0
2009,Seahawks,SEA,21.9,60,1316,0,37,4,46,0
2009,Steelers,PIT,24,66,1581,0,44,4,83,2
2009,Texans,HOU,22.6,64,1449,1,42,2,95,0
2009,Titans,TEN,20.5,69,1417,0,37,1,56,0
2009,Vikings,MIN,23.2,56,1297,2,30,5,101,1
2010,Bears,CHI,25.4,59,1497,0,38,10,79,1
2010,Bengals,CIN,21.8,71,1551,0,40,4,60,0
2010,Bills,BUF,21.1,69,1458,1,35,3,95,0
2010,Broncos,DEN,24.3,59,1435,1,35,4,97,0
2010,Browns,CLE,17,70,1191,0,25,0,37,0
2010,Buccaneers,TB,24.3,57,1386,1,36,4,89,0
2010,Cardinals,ARI,24.8,84,2084,2,53,7,102,0
2010,Chargers,LAC,24,56,1342,0,39,2,45,0
2010,Chiefs,KC,19.7,58,1140,0,28,0,36,1
2010,Colts,IND,19.6,67,1310,1,35,1,41,0
2010,Cowboys,DAL,21.2,74,1572,0,41,4,43,0
2010,Dolphins,MIA,21.4,56,1199,0,30,2,46,1
2010,Eagles,PHI,20.5,62,1272,0,34,2,46,1
2010,Falcons,ATL,26.5,46,1221,1,35,5,102,0
2010,Giants,NYG,19,57,1082,0,27,1,42,0
2010,Jaguars,JAX,23.8,80,1903,0,55,5,65,0
2010,Jets,NYJ,25.2,63,1588,2,35,6,97,0
2010,Lions,DET,24.9,61,1519,1,43,5,105,0
2010,49ers,SF,19.5,61,1187,0,25,3,61,0
2010,Packers,GB,20.2,62,1249,0,31,5,51,0
2010,Panthers,CAR,21.9,74,1619,0,40,5,64,0
2010,Patriots,NE,22,56,1231,2,28,3,103,1
2010,Raiders,LV,22.5,68,1532,3,33,4,101,0
2010,Rams,LAR,21.8,74,1614,0,47,1,84,0
2010,Ravens,BAL,24.7,55,1357,1,36,2,103,1
2010,Commanders,WAS,23,73,1680,1,48,5,96,0
2010,Saints,NO,22.7,52,1181,0,39,0,39,0
2010,Seahawks,SEA,24,65,1558,3,35,7,101,0
2010,Steelers,PIT,23.5,49,1153,1,32,3,89,0
2010,Texans,HOU,19.8,67,1326,0,39,1,50,0
2010,Titans,TEN,24.3,64,1556,1,42,4,98,0
2010,Vikings,MIN,22.3,64,1427,1,37,6,95,1
2011,Bears,CHI,21.7,57,1238,1,29,4,98,0
2011,Bengals,CIN,22.8,45,1026,0,30,1,45,0
2011,Bills,BUF,23,37,853,0,26,3,54,0
2011,Broncos,DEN,24.5,39,956,0,25,3,67,0
2011,Browns,CLE,23.6,48,1134,0,32,3,63,0
2011,Buccaneers,TB,22.3,46,1024,0,29,2,78,0
2011,Cardinals,ARI,24,52,1246,0,41,1,51,0
2011,Chargers,LAC,25.6,43,1100,1,33,3,105,0
2011,Chiefs,KC,21.3,46,979,0,26,0,35,0
2011,Colts,IND,18.6,31,578,0,11,1,51,0
2011,Cowboys,DAL,23.3,33,768,0,19,2,69,0
2011,Dolphins,MIA,24.2,39,942,0,26,2,77,0
2011,Eagles,PHI,20.9,39,815,0,24,0,33,0
2011,Falcons,ATL,23.5,24,563,0,18,0,37,0
2011,Giants,NYG,23.2,52,1209,0,37,1,40,0
2011,Jaguars,JAX,22.4,47,1055,0,33,0,37,0
