Year,Team,Abbreviation,Kickoffs,Yds,Touchbacks,TB(pct),Ret,Ret_Avg,OSK,OSK_Rec,OOB,Touchdowns_Allowed
2022,Bengals,CIN,90,5604,51,56.7,37,21.4,1,0,2,0
2022,Bills,BUF,93,5822,43,46.2,48,20.2,0,0,2,0
2022,Broncos,DEN,73,4580,51,69.9,21,21.2,2,1,0,0
2022,Browns,CLE,82,5111,50,61,29,22.3,3,0,2,0
2022,Buccaneers,TB,78,4859,40,51.3,34,25.8,3,0,1,0
2022,Cardinals,ARI,78,4948,57,73.1,20,21.2,1,0,0,0
2022,Chargers,LAC,86,5384,69,80.2,15,21.1,2,0,0,0
2022,Chiefs,KC,98,6287,65,66.3,33,23.3,0,0,0,0
2022,Colts,IND,78,5069,42,53.8,34,23,0,0,2,0
2022,Commanders,WAS,78,4865,60,76.9,15,23.3,3,0,0,0
2022,Cowboys,DAL,100,6506,78,78,21,24.2,0,0,1,0
2022,Dolphins,MIA,90,5633,61,67.8,26,27.8,3,0,0,1
2022,Eagles,PHI,97,6290,67,69.1,30,26.1,0,0,0,0
2022,Falcons,ATL,80,5143,59,73.8,21,22.4,0,0,0,0
2022,Giants,NYG,85,5174,50,58.8,30,25.6,5,0,0,0
2022,Jaguars,JAX,89,5537,44,49.4,41,21.5,1,1,3,0
2022,Jets,NYJ,73,4445,58,79.4,12,20.9,3,1,0,0
2022,Lions,DET,93,5764,54,58.1,34,21.9,4,0,1,0
2022,Packers,GB,80,4867,18,22.5,61,23.2,1,0,0,0
2022,Panthers,CAR,84,5154,46,54.8,33,22.4,3,0,2,0
2022,Patriots,NE,85,5256,31,36.5,52,25.6,1,0,1,3
2022,Raiders,LV,90,5548,57,63.3,29,20.1,3,0,1,0
2022,Rams,LAR,78,4886,61,78.2,15,23,1,0,1,0
2022,Ravens,BAL,86,5449,60,69.8,26,21.2,0,0,0,0
2022,Saints,NO,75,4554,48,64,23,22.6,4,0,0,0
2022,Seahawks,SEA,94,5903,54,57.4,38,20.9,2,0,0,0
2022,Steelers,PIT,77,4719,26,33.8,47,24.5,2,0,3,0
2022,Texans,HOU,75,4564,33,44,37,19,5,0,1,0
2022,Titans,TEN,69,4343,37,53.6,32,20.2,0,0,0,0
2022,Vikings,MIN,89,5640,54,60.7,34,26.2,1,0,0,1
2023,49ers,SF,97,6131,58,59.8,32,23.3,0,0,2,0
2023,Bears,CHI,89,5624,71,79.8,15,24.7,2,0,0,0
2023,Bengals,CIN,82,5162,63,76.8,13,17,2,0,0,0
2023,Bills,BUF,95,5952,53,55.8,29,22.4,1,0,1,1
2023,Broncos,DEN,82,5190,71,86.6,8,21.5,3,0,0,0
2023,Browns,CLE,92,5804,54,58.7,30,21.2,0,0,0,1
2023,Buccaneers,TB,82,5124,52,63.4,26,18.9,1,0,0,0
2023,Cardinals,ARI,79,4843,66,83.5,6,22.2,5,1,0,0
2023,Chargers,LAC,81,5168,68,84,11,19.4,1,0,0,0
2023,Chiefs,KC,85,5565,74,87.1,11,28.3,0,0,0,0
2023,Colts,IND,93,5960,72,77.4,15,26.1,0,0,0,0
2023,Commanders,WAS,72,4520,64,88.9,5,27.8,3,0,1,0
2023,Cowboys,DAL,109,7068,99,90.8,8,24.8,0,0,1,0
2023,Dolphins,MIA,98,6327,83,84.7,15,30.5,0,0,0,1
2023,Eagles,PHI,91,5846,73,80.2,17,28.9,1,0,0,0
2023,Falcons,ATL,79,5128,66,83.5,11,23.7,0,0,1,0
2023,Giants,NYG,65,4110,38,58.5,16,23.6,0,0,1,0
2023,Jaguars,JAX,86,5421,65,75.6,14,25.4,2,0,0,1
2023,Jets,NYJ,73,4651,62,84.9,8,15.4,1,0,0,0
2023,Lions,DET,93,5814,60,64.5,27,20.8,3,0,0,0
2023,Packers,GB,86,5466,37,43,40,23.8,1,0,1,0
2023,Panthers,CAR,62,3749,37,59.7,20,23.9,4,0,1,0
2023,Patriots,NE,61,3830,39,63.9,21,20.6,1,0,0,0
2023,Raiders,LV,78,4977,48,61.5,28,22.8,1,0,0,0
2023,Rams,LAR,92,5865,80,87,11,26.9,1,0,0,0
2023,Ravens,BAL,104,6638,80,76.9,20,23,1,0,1,0
2023,Saints,NO,91,5828,76,83.5,12,18.8,1,0,0,0
2023,Seahawks,SEA,86,5428,55,64,22,22.2,1,0,1,0
2023,Steelers,PIT,76,4833,55,72.4,18,26.4,0,0,0,0
2023,Texans,HOU,87,5419,56,64.4,26,21.9,2,1,0,0
2023,Titans,TEN,72,4508,34,47.2,35,23.3,2,0,0,0
2023,Vikings,MIN,80,5131,61,76.2,17,23.8,1,0,1,0
